line_number,line_text,speaker,norm_speaker,eng_speaker
48,ἀλλʼ οὐδὲν αὐτῷ τῶν ἐμῶν μʼ εἴργειν μέτα.,Ἀντιγόνη,Αντιγονη,Antigonh
49,"οἴμοι. φρόνησον, ὦ κασιγνήτη, πατὴρ",Ἰσμήνη,Ισμηνη,Ismhnh
50,"ὡς νῷν ἀπεχθὴς δυσκλεής τʼ ἀπώλετο,",Ἰσμήνη,Ισμηνη,Ismhnh
51,πρὸς αὐτοφώρων ἀμπλακημάτων διπλᾶς,Ἰσμήνη,Ισμηνη,Ismhnh
52,ὄψεις ἀράξας αὐτὸς αὐτουργῷ χερί.,Ἰσμήνη,Ισμηνη,Ismhnh
53,"ἔπειτα μήτηρ καὶ γυνή, διπλοῦν ἔπος,",Ἰσμήνη,Ισμηνη,Ismhnh
54,πλεκταῖσιν ἀρτάναισι λωβᾶται βίον·,Ἰσμήνη,Ισμηνη,Ismhnh
55,τρίτον δʼ ἀδελφὼ δύο μίαν καθʼ ἡμέραν,Ἰσμήνη,Ισμηνη,Ismhnh
56,αὐτοκτονοῦντε τὼ ταλαιπώρω μόρον,Ἰσμήνη,Ισμηνη,Ismhnh
57,κοινὸν κατειργάσαντʼ ἐπαλλήλοιν χεροῖν.,Ἰσμήνη,Ισμηνη,Ismhnh
58,νῦν δʼ αὖ μόνα δὴ νὼ λελειμμένα σκόπει,Ἰσμήνη,Ισμηνη,Ismhnh
59,"ὅσῳ κάκιστʼ ὀλούμεθʼ, εἰ νόμου βίᾳ",Ἰσμήνη,Ισμηνη,Ismhnh
60,ψῆφον τυράννων ἢ κράτη παρέξιμεν.,Ἰσμήνη,Ισμηνη,Ismhnh
61,ἀλλʼ ἐννοεῖν χρὴ τοῦτο μὲν γυναῖχʼ ὅτι,Ἰσμήνη,Ισμηνη,Ismhnh
62,"ἔφυμεν, ὡς πρὸς ἄνδρας οὐ μαχουμένα.",Ἰσμήνη,Ισμηνη,Ismhnh
63,"ἔπειτα δʼ οὕνεκʼ ἀρχόμεσθʼ ἐκ κρεισσόνων,",Ἰσμήνη,Ισμηνη,Ismhnh
64,καὶ ταῦτʼ ἀκούειν κἄτι τῶνδʼ ἀλγίονα.,Ἰσμήνη,Ισμηνη,Ismhnh
65,ἐγὼ μὲν οὖν αἰτοῦσα τοὺς ὑπὸ χθονὸς,Ἰσμήνη,Ισμηνη,Ismhnh
66,"ξύγγνοιαν ἴσχειν, ὡς βιάζομαι τάδε,",Ἰσμήνη,Ισμηνη,Ismhnh
67,τοῖς ἐν τέλει βεβῶσι πείσομαι· τὸ γὰρ,Ἰσμήνη,Ισμηνη,Ismhnh
68,περισσὰ πράσσειν οὐκ ἔχει νοῦν οὐδένα.,Ἰσμήνη,Ισμηνη,Ismhnh
69,"οὔτʼ ἂν κελεύσαιμʼ οὔτʼ ἄν, εἰ θέλοις ἔτι",Ἀντιγόνη,Αντιγονη,Antigonh
70,"πράσσειν, ἐμοῦ γʼ ἂν ἡδέως δρῴης μέτα.",Ἀντιγόνη,Αντιγονη,Antigonh
71,"ἀλλʼ ἴσθʼ ὁποῖά σοι δοκεῖ, κεῖνον δʼ ἐγὼ",Ἀντιγόνη,Αντιγονη,Antigonh
72,θάψω· καλόν μοι τοῦτο ποιούσῃ θανεῖν.,Ἀντιγόνη,Αντιγονη,Antigonh
73,"φίλη μετʼ αὐτοῦ κείσομαι, φίλου μέτα,",Ἀντιγόνη,Αντιγονη,Antigonh
74,ὅσια πανουργήσασʼ. ἐπεὶ πλείων χρόνος,Ἀντιγόνη,Αντιγονη,Antigonh
75,ὃν δεῖ μʼ ἀρέσκειν τοῖς κάτω τῶν ἐνθάδε.,Ἀντιγόνη,Αντιγονη,Antigonh
76,"ἐκεῖ γὰρ αἰεὶ κείσομαι· σοὶ δʼ, εἰ δοκεῖ,",Ἀντιγόνη,Αντιγονη,Antigonh
77,τὰ τῶν θεῶν ἔντιμʼ ἀτιμάσασʼ ἔχε.,Ἀντιγόνη,Αντιγονη,Antigonh
78,"ἐγὼ μὲν οὐκ ἄτιμα ποιοῦμαι, τὸ δὲ",Ἰσμήνη,Ισμηνη,Ismhnh
79,βίᾳ πολιτῶν δρᾶν ἔφυν ἀμήχανος.,Ἰσμήνη,Ισμηνη,Ismhnh
80,σὺ μὲν τάδʼ ἂν προὔχοιʼ· ἐγὼ δὲ δὴ τάφον,Ἀντιγόνη,Αντιγονη,Antigonh
81,χώσουσʼ ἀδελφῷ φιλτάτῳ πορεύσομαι.,Ἀντιγόνη,Αντιγονη,Antigonh
82,"οἴμοι ταλαίνης, ὡς ὑπερδέδοικά σου.",Ἰσμήνη,Ισμηνη,Ismhnh
83,μὴ ʼμοῦ προτάρβει· τὸν σὸν ἐξόρθου πότμον.,Ἀντιγόνη,Αντιγονη,Antigonh
84,ἀλλʼ οὖν προμηνύσῃς γε τοῦτο μηδενὶ,Ἰσμήνη,Ισμηνη,Ismhnh
85,"τοὔργον, κρυφῇ δὲ κεῦθε, σὺν δʼ αὔτως ἐγώ.",Ἰσμήνη,Ισμηνη,Ismhnh
86,"οἴμοι, καταύδα· πολλὸν ἐχθίων ἔσει",Ἀντιγόνη,Αντιγονη,Antigonh
87,"σιγῶσʼ, ἐὰν μὴ πᾶσι κηρύξῃς τάδε.",Ἀντιγόνη,Αντιγονη,Antigonh
88,θερμὴν ἐπὶ ψυχροῖσι καρδίαν ἔχεις.,Ἰσμήνη,Ισμηνη,Ismhnh
89,ἀλλʼ οἶδʼ ἀρέσκουσʼ οἷς μάλισθʼ ἁδεῖν με χρή.,Ἀντιγόνη,Αντιγονη,Antigonh
90,εἰ καὶ δυνήσει γʼ· ἀλλʼ ἀμηχάνων ἐρᾷς.,Ἰσμήνη,Ισμηνη,Ismhnh
91,"οὐκοῦν, ὅταν δὴ μὴ σθένω, πεπαύσομαι.",Ἀντιγόνη,Αντιγονη,Antigonh
92,ἀρχὴν δὲ θηρᾶν οὐ πρέπει τἀμήχανα.,Ἰσμήνη,Ισμηνη,Ismhnh
93,"εἰ ταῦτα λέξεις, ἐχθαρεῖ μὲν ἐξ ἐμοῦ,",Ἀντιγόνη,Αντιγονη,Antigonh
94,ἐχθρὰ δὲ τῷ θανόντι προσκείσει δίκῃ.,Ἀντιγόνη,Αντιγονη,Antigonh
95,ἀλλʼ ἔα με καὶ τὴν ἐξ ἐμοῦ δυσβουλίαν,Ἀντιγόνη,Αντιγονη,Antigonh
96,παθεῖν τὸ δεινὸν τοῦτο· πείσομαι γὰρ οὐ,Ἀντιγόνη,Αντιγονη,Antigonh
97,τοσοῦτον οὐδὲν ὥστε μὴ οὐ καλῶς θανεῖν.,Ἀντιγόνη,Αντιγονη,Antigonh
98,"ἀλλʼ εἰ δοκεῖ σοι, στεῖχε· τοῦτο δʼ ἴσθʼ ὅτι",Ἰσμήνη,Ισμηνη,Ismhnh
99,"ἄνους μὲν ἔρχει, τοῖς φίλοις δʼ ὀρθῶς φίλη.",Ἰσμήνη,Ισμηνη,Ismhnh
100,"ἀκτὶς ἀελίου, τὸ κάλλιστον ἑπταπύλῳ φανὲν",Χορός,Χορος,Xoros
101,"Θήβᾳ τῶν προτέρων φάος,",Χορός,Χορος,Xoros
102,"ἐφάνθης ποτʼ, ὦ χρυσέας",Χορός,Χορος,Xoros
103,"ἁμέρας βλέφαρον,",Χορός,Χορος,Xoros
105,"Διρκαίων ὑπὲρ ῥεέθρων μολοῦσα,",Χορός,Χορος,Xoros
106,τὸν λεύκασπιν Ἀργόθεν ἐκβάντα φῶτα πανσαγίᾳ,Χορός,Χορος,Xoros
107,φυγάδα πρόδρομον ὀξυτέρῳ κινήσασα χαλινῷ·,Χορός,Χορος,Xoros
110,ὃς ἐφʼ ἡμετέρᾳ γᾷ Πολυνείκους,Χορός,Χορος,Xoros
111,ἀρθεὶς νεικέων ἐξ ἀμφιλόγων,Χορός,Χορος,Xoros
112,ὀξέα κλάζων,Χορός,Χορος,Xoros
113,"ἀετὸς εἰς γᾶν ὣς ὑπερέπτα,",Χορός,Χορος,Xoros
114,"λευκῆς χιόνος πτέρυγι στεγανός,",Χορός,Χορος,Xoros
115,πολλῶν μεθʼ ὅπλων,Χορός,Χορος,Xoros
116,ξύν θʼ ἱπποκόμοις κορύθεσσιν.,Χορός,Χορος,Xoros
117,στὰς δʼ ὑπὲρ μελάθρων φονώσαισιν ἀμφιχανὼν κύκλῳ,Χορός,Χορος,Xoros
118,λόγχαις ἑπτάπυλον στόμα,Χορός,Χορος,Xoros
119,"ἔβα, πρίν ποθʼ ἁμετέρων",Χορός,Χορος,Xoros
120,αἱμάτων γένυσιν πλησθῆναί τε καὶ στεφάνωμα πύργων,Χορός,Χορος,Xoros
