lemma_id,def_num,short_definition,queries
12590,2,avia.,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)=a2'}]"
12590,3,[unavailable],"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)=a3'}]"
66131,1,"longing, yearning, regret","[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=po/qos'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=po/qos'}, {'name': 'Slater', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0072:entry=po/qos'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=po/qos'}]"
26312,1,[unavailable],"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/r1'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=ka/r1'}]"
26312,2,s worth,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/r2'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=ka/r2'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=ka/r2'}]"
90760,1,cry,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)a/zw'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=ai)a/zw'}]"
71560,1,"plough, till,","[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ro/w'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=a)ro/w'}, {'name': 'Slater', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0072:entry=a)ro/w'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=a)ro/w'}]"
77836,1,mushroom,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)/ton'}]"
77573,1,[unavailable],"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)/ths'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=i)/ths'}]"
127661,1,pray to,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ra/omai'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=a)ra/omai'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=a)ra/omai'}]"
80982,1,[unavailable],"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ron'}]"
64116,1,black mulberry,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mo/ron'}]"
75464,1,"way, road, path,","[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)=mos'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=oi)=mos'}, {'name': 'Slater', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0072:entry=oi)=mos'}, {'name': 'Autenrieth', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0073:entry=oi)=mos'}]"
69690,1,ibo,"[{'name': 'LSJ', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)to/s'}, {'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=i)to/s'}]"
39035,1,at some time,"[{'name': 'Middle Liddell', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0058:entry=pote/'}, {'name': 'Slater', 'url': 'https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0072:entry=pote/'}]"
