lemma_id,headword
189273,e)/corqos
349451,dusmaxhte/on
56270,pa/lai
7100,ei)
124167,kru/ptw
105423,proqe/w
37255,ei)/te
144032,du/nasis
202698,kerauni/as
138460,ge/nnhma
90329,kompo/w
66963,a)gw/n
47286,pai=s
225290,summa/xomai
113967,yeu=dos
161151,dussebe/w
120143,e)mpede/w
108347,ai(ma/th
150415,stega/zw
33624,a)ni/a
216143,patrw=|os
199030,patrw/ios
95730,o)rga/w
36514,sigh/
119700,i(/ketis
111141,i(ke/tis
192764,e)mpla/zw
71557,nea/th
195890,o)frua/zw
95715,o)fru/h
88428,a)/pais
27287,li/s
117392,a)/krwn
305891,a)pani/sthmi
136775,o)frua/w
122093,ai(mata/w
45946,pa/lh
28970,pa/la
81735,e)xqe/w
24112,feu=
43503,si=ga
176037,blasta/nw
83489,ou)/koun
85555,ou)kou=n
58861,tribh/
92025,ponto/w
33296,h)mi/
139635,pro/spolos
147306,a)e/lios
117524,musa/zw
34258,siga/s
104734,oi)wno/s
2982,h)/
116752,kaqi/hmi
159433,ponti/zw
171860,du/smoros
81859,a)=tos
45350,fh=ma
122817,eu)agh/s
107870,a)/fhmai
103150,te/knon
113594,siga/zw
99989,yeudh/s
137953,a)/patos
95183,triba/s
60083,laka/w
145869,xlwreu/s
61775,fra/tra
71871,zuge/w
98724,o)/rgia
68123,ste/gh
62005,spora/
147879,blasto/w
18570,tis
97430,po/tmos
123079,ka/rtos
75036,zugo/w
123624,a)rato/s
110877,pe/dion
102579,pedi/on
99749,a)/atos
72039,lwbo/s
45221,lw/bh
321273,a)kte/ristos
173061,tumbh/rhs
188669,krupte/on
282647,e)leli/xqwn
187171,filhte/os
151415,du/saulos
100834,e(/rgma
200765,xruso/rrutos
343663,a)ndro/fqoros
183131,filhte/on
192709,krupte/os
335376,a)ndrofqo/ros
196026,fre/nwsis
138847,plhgmo/s
48044,a)/nta
75084,a)/nth
80635,a)nta/w
75157,a(/dos
130328,o)rgia/w
273811,u(pe/rteros
130341,dussebh/s
157565,a)/ntomai
142657,lwbhto/s
71329,lhke/w
121056,pro/xoos
100049,proxo/w
83801,qu/mos
73972,qumo/s
90692,bo/eios
20655,sfo/s
116738,ou)damh=
229506,a)pa/llacis
76915,pa/llw
81276,qu/mon
71589,leu/kh
71602,fona/w
47425,dua/w
81225,a)i/tas
118397,blasto/s
73289,parw/n
97139,qallo/s
188869,a)/qaptos
148111,ou)/reios
75597,xrau/w
22235,bo/a
20164,boh/
149784,a)pallagh/
71851,zw=sis
155804,spora/zw
158723,ai(mato/w
113493,a)/pios
60229,poio/s
49216,a)/nw
141157,a)ke/omai
72706,zugo/s
181265,du/sthnos
238573,metarsio/w
83247,tu=fos
156039,logxa/zw
29553,a)lla/
114781,kardia/w
61395,poi=os
104220,skota/w
156773,e)mpedo/w
40592,no/os
302386,o)rniqosko/pos
317924,o)rniqo/skopos
267499,katarreph/s
108263,proti/w
56612,o)rgh/
337493,e)pana/stasis
67986,h(mo/s
106493,tekno/w
115658,stei/xw
98277,*mhdi/s
222421,a)lgeino/s
78976,sqe/nw
189443,o)rgia/zw
196307,broto/omai
74934,tufo/w
112812,a)/kron
82637,o(/pws
84197,pa/tos
152286,e)paei/dw
162835,mainome/nh
37575,e)a/n
109302,a)/noos
170903,e)/mpedos
72671,curo/n
75196,curo/s
48171,pro/s
87046,me/teimi
68447,peda/w
284578,a)/klaustos
213592,a)naple/kw
275257,martu/rhsis
70181,zugo/n
92013,kukle/w
82649,e(/rpw
45330,pe/ra
21132,a)/n
17244,a)na/
7021,pw
235756,e)piktei/nw
141082,blasto/n
246918,kerau/nios
189272,dusbouli/a
93693,kw/kuma
201569,a)gxistei=a
220967,katarruh/s
181319,pro/basis
225984,katarre/pw
196918,parabato/s
173791,katanti/on
247832,e)pista/zw
40242,se/bas
39464,lith/
64553,kardi/a
27098,su/n
145925,e)xqi/wn
47954,mh/te
110320,e)/xqra
114832,e)/xqrh
79197,e)/xis
92223,*qallw/
85613,la/xos
260770,kasi/gnhtos
113016,au)/tws
