lemma_id,lemma,full_eng,urn,line_number,normalized,eng_lemma,case_type,number,gender,voice,tense,mood,person,ppl_voice,ppl_tense,ppl_gender,ppl_case,prn_type,prn_case,prn_gender
75207,ἄτιμος,a)/timos,urn:cts:greekLit:tlg0011.tlg002:5,5,ατιμος,atimos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
48022,εἰμί,ei)mi/,urn:cts:greekLit:tlg0011.tlg002:5,5,ειμι,eimi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79078,ὁποῖος,o(poi=os,urn:cts:greekLit:tlg0011.tlg002:5,5,οποιος,opoios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
27691,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:5,5,ου,ou,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:6,6,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40980,σός,so/s,urn:cts:greekLit:tlg0011.tlg002:6,6,σος,sos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:6,6,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
51518,ἐμός,e)mo/s,urn:cts:greekLit:tlg0011.tlg002:6,6,εμος,emos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
27691,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:6,6,ου,ou,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41078,ὁράω,o(rw,urn:cts:greekLit:tlg0011.tlg002:6,6,οραω,oraw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
22491,ἐγώ,e)g,urn:cts:greekLit:tlg0011.tlg002:6,6,εγω,egw,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
60062,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:6,6,κακος,kakos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
34092,καί,kai/,urn:cts:greekLit:tlg0011.tlg002:7,7,και,kai,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41610,νῦν,nu=n,urn:cts:greekLit:tlg0011.tlg002:7,7,νυν,nun,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
39915,τίς,ti/s,urn:cts:greekLit:tlg0011.tlg002:7,7,τις,tis,nominative,sg,neuter,None,None,None,None,None,None,None,None,interrogative,nominative,masculine_feminine
70333,οὗτος,ou(=tos,urn:cts:greekLit:tlg0011.tlg002:7,7,ουτος,outos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
28500,αὖ,au)=,urn:cts:greekLit:tlg0011.tlg002:7,7,αυ,au,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46335,φημί,fhmi/,urn:cts:greekLit:tlg0011.tlg002:7,7,φημι,fhmi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
82887,πάνδημος,pndhmos,urn:cts:greekLit:tlg0011.tlg002:7,7,πανδημος,pandhmos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
62988,πόλις,po/lis,urn:cts:greekLit:tlg0011.tlg002:7,7,πολις,polis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
83058,κήρυγμα,kh/rugma,urn:cts:greekLit:tlg0011.tlg002:8,8,κηρυγμα,khrugma,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
74862,τίθημι,ti/q)hmi,urn:cts:greekLit:tlg0011.tlg002:8,8,τιθημι,tiq)hmi,dative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:8,8,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111722,στρατηγός,strathgo/s,urn:cts:greekLit:tlg0011.tlg002:8,8,στρατηγος,strathgos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
76322,ἄρτιος,a)/rtios,urn:cts:greekLit:tlg0011.tlg002:8,8,αρτιος,artios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
42652,ἔχω,e)/xw,urn:cts:greekLit:tlg0011.tlg002:9,9,εχω,exw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
37706,τις,tis,urn:cts:greekLit:tlg0011.tlg002:9,9,τις,tis,nominative,sg,neuter,None,None,None,None,None,None,None,None,indefinite,nominative,masculine_feminine
99370,εἰσακούω,ei)sakou/w,urn:cts:greekLit:tlg0011.tlg002:9,9,εισακουω,eisakouw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
14706,ἤ,h)/,urn:cts:greekLit:tlg0011.tlg002:9,9,η,h,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29123,σύ,su/,urn:cts:greekLit:tlg0011.tlg002:9,9,συ,su,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
73884,λανθάνω,lanq)nw,urn:cts:greekLit:tlg0011.tlg002:9,9,λανθανω,lanq)anw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
53295,πρός,pro/s,urn:cts:greekLit:tlg0011.tlg002:10,10,προς,pros,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:10,10,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
60848,φίλος,fi/los,urn:cts:greekLit:tlg0011.tlg002:10,10,φιλος,filos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
78677,στείχω,stei/xw,urn:cts:greekLit:tlg0011.tlg002:10,10,στειχω,steixw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:10,10,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81483,ἐχθρός,e)xq)ro/s,urn:cts:greekLit:tlg0011.tlg002:10,10,εχθρος,exq)ros,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
60062,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:10,10,κακος,kakos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
22491,ἐγώ,e)g,urn:cts:greekLit:tlg0011.tlg002:11,11,εγω,egw,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
36391,μέν,me/n,urn:cts:greekLit:tlg0011.tlg002:11,11,μεν,men,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
74351,οὐδείς,ou)dei/s,urn:cts:greekLit:tlg0011.tlg002:11,11,ουδεις,oudeis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
69287,μῦθος,mu=q)os,urn:cts:greekLit:tlg0011.tlg002:11,11,μυθος,muq)os,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
90542,Ἀντιγόνη,A)ntigo/nh,urn:cts:greekLit:tlg0011.tlg002:11,11,Αντιγονη,Antigonh,nominative,sg,feminine,active,pluperfect,indicative,1st,None,None,None,None,None,None,None
60848,φίλος,fi/los,urn:cts:greekLit:tlg0011.tlg002:11,11,φιλος,filos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:12,12,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
51539,ἡδύς,h(du/s,urn:cts:greekLit:tlg0011.tlg002:12,12,ηδυς,hdus,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:12,12,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:12,12,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
94444,ἀλγεινός,a)lgeino/s,urn:cts:greekLit:tlg0011.tlg002:12,12,αλγεινος,algeinos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
93220,ἱκνέομαι,i(kne/omai,urn:cts:greekLit:tlg0011.tlg002:12,12,ικνεομαι,ikneomai,nominative,pl,feminine,mediopassive,present,indicative,1st,None,None,None,None,None,None,None
23331,ἐκ,e)k,urn:cts:greekLit:tlg0011.tlg002:12,12,εκ,ek,None,None,None,None,None,None,None,None,None,None,None,demonstrative,nominative,masculine
67061,ὅστις,o(/stis,urn:cts:greekLit:tlg0011.tlg002:12,12,οστις,ostis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
38219,δύο,du/o,urn:cts:greekLit:tlg0011.tlg002:13,13,δυο,duo,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81114,ἀδελφός,a)delfo/s,urn:cts:greekLit:tlg0011.tlg002:13,13,αδελφος,adelfos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
76449,στερέω,stere/w,urn:cts:greekLit:tlg0011.tlg002:13,13,στερεω,sterew,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
38219,δύο,du/o,urn:cts:greekLit:tlg0011.tlg002:13,13,δυο,duo,None,None,None,None,None,None,None,None,None,None,None,None,None,None
39772,εἷς,ei(=s,urn:cts:greekLit:tlg0011.tlg002:14,14,εις,eis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
78410,θνήσκω,q)nh/skw,urn:cts:greekLit:tlg0011.tlg002:14,14,θνησκω,q)nhskw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
59112,ἡμέρα,h(me/ra,urn:cts:greekLit:tlg0011.tlg002:14,14,ημερα,hmera,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
72988,διπλός,diplo/s,urn:cts:greekLit:tlg0011.tlg002:14,14,διπλος,diplos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
50831,χείρ,xei/r,urn:cts:greekLit:tlg0011.tlg002:14,14,χειρ,xeir,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47861,ἐπεί,e)pei/,urn:cts:greekLit:tlg0011.tlg002:15,15,επει,epei,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22410,δέ,de/,urn:cts:greekLit:tlg0011.tlg002:15,15,δε,de,None,None,None,None,None,None,None,None,None,None,None,None,None,None
88677,φροῦδος,frou=dos,urn:cts:greekLit:tlg0011.tlg002:15,15,φρουδος,froudos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
48022,εἰμί,ei)mi/,urn:cts:greekLit:tlg0011.tlg002:15,15,ειμι,eimi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80004,Ἀργεῖος,A)rgei=os,urn:cts:greekLit:tlg0011.tlg002:15,15,Αργειος,Argeios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
90297,στρατός,strato/s,urn:cts:greekLit:tlg0011.tlg002:15,15,στρατος,stratos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
